name,lat,long
Berlin,52.5167,13.3833
Hamburg,53.55,10.0
Munich,48.1372,11.5755
Cologne,50.9422,6.9578
Frankfurt,50.1136,8.6797
Bremen,53.1153,8.7975
Stuttgart,48.7761,9.1775
Düsseldorf,51.2311,6.7724
Dortmund,51.5139,7.4653
Essen,51.4508,7.0131
Dresden,51.0493,13.7384
Leipzig,51.35,12.3833
Hannover,52.3744,9.7386
Nuremberg,49.4528,11.0778
Duisburg,51.4322,6.7611
Bochum,51.4833,7.2167
Wuppertal,51.2667,7.1833
Bielefeld,52.0167,8.5333
Bonn,50.7339,7.0997
Münster,51.9625,7.6256
Karlsruhe,49.0167,8.4
Mannheim,49.4878,8.4661
Augsburg,48.3717,10.8983
Wiesbaden,50.0825,8.24
Mönchengladbach,51.2,6.4333
Gelsenkirchen,51.5167,7.1
Braunschweig,52.2692,10.5211
Kiel,54.3233,10.1394
Aachen,50.7762,6.0838
Chemnitz,50.8333,12.9167
Halle,51.4828,11.9697
Magdeburg,52.1278,11.6292
Freiburg im Breisgau,47.9947,7.8497
Krefeld,51.3333,6.5667
Lübeck,53.8697,10.6864
Oberhausen,51.4699,6.8514
Rostock,54.0833,12.1333
Erfurt,50.9787,11.0328
Kassel,51.3158,9.4979
Hagen,51.3594,7.475
Mainz,50.0,8.2711
Saarbrücken,49.2333,7.0
Hamm,51.6667,7.8167
Potsdam,52.4,13.0667
Ludwigshafen,49.4811,8.4353
Mülheim,51.4283,6.8789
Oldenburg,53.1439,8.2139
Osnabrück,52.2789,8.0431
Leverkusen,51.0333,6.9833
Heidelberg,49.4122,8.71
Solingen,51.1667,7.0833
Darmstadt,49.8667,8.65
Herne,51.5426,7.219
Neuss,51.2003,6.6939
Regensburg,49.0167,12.0833
Paderborn,51.7167,8.7667
Ingolstadt,48.7636,11.4261
Würzburg,49.7944,9.9294
Fürth,49.4783,10.9903
Ulm,48.3984,9.9916
Heilbronn,49.1404,9.218
Pforzheim,48.895,8.705
Wolfsburg,52.4231,10.7872
Göttingen,51.5339,9.9356
Bottrop,51.5232,6.9253
Reutlingen,48.4833,9.2167
Koblenz,50.3597,7.5978
Bremerhaven,53.55,8.5833
Recklinghausen,51.6167,7.2
Bergisch Gladbach,50.9917,7.1367
Erlangen,49.5964,11.0044
Jena,50.9272,11.5864
Remscheid,51.1906,7.2247
Trier,49.7567,6.6414
Salzgitter,52.1503,10.3593
Moers,51.4592,6.6197
Siegen,50.8756,8.0167
Hildesheim,52.15,9.95
Cottbus,51.7606,14.3342
Gütersloh,51.9,8.3833
Kaiserslautern,49.4447,7.7689
Witten,51.4333,7.3333
Hanau,50.1328,8.9169
Schwerin,53.6333,11.4167
Gera,50.8782,12.0824
Esslingen,48.7406,9.3108
Ludwigsburg,48.8975,9.1919
Iserlohn,51.3833,7.6667
Düren,50.8,6.4833
Tübingen,48.52,9.0556
Flensburg,54.7819,9.4367
Zwickau,50.7189,12.4961
Gießen,50.5833,8.6667
Ratingen,51.3,6.85
Lünen,51.6167,7.5167
Villingen-Schwenningen,48.0603,8.4586
Konstanz,47.6633,9.1753
Marl,51.6667,7.1167
Worms,49.6319,8.3653
Velbert,51.34,7.0416
Minden,52.2883,8.9167
Dessau-Roßlau,51.8333,12.2333
Neumünster,54.0714,9.99
Norderstedt,53.7064,10.0103
Delmenhorst,53.0506,8.6317
Bamberg,49.8917,10.8917
Viersen,51.2556,6.3917
Marburg,50.8167,8.7667
Rheine,52.2833,7.4333
Wilhelmshaven,53.5167,8.1333
Gladbeck,51.5713,6.9827
Lüneburg,53.2525,10.4144
Troisdorf,50.8161,7.1556
Dorsten,51.66,6.9642
Bayreuth,49.9481,11.5783
Detmold,51.9378,8.8833
Arnsberg,51.3967,8.0644
Castrop-Rauxel,51.55,7.3167
Lüdenscheid,51.2198,7.6273
Landshut,48.5397,12.1508
Brandenburg,52.4117,12.5561
Bocholt,51.8333,6.6167
Aschaffenburg,49.9757,9.1478
Celle,52.6256,10.0825
Kempten,47.7333,10.3167
Fulda,50.5528,9.6775
Aalen,48.8372,10.0936
Lippstadt,51.6667,8.35
Dinslaken,51.5667,6.7333
Herford,52.1146,8.6734
Kerpen,50.8719,6.6961
Weimar,50.9833,11.3167
Plauen,50.495,12.1383
Sindelfingen,48.7133,9.0028
Neuwied,50.4286,7.4614
Dormagen,51.0964,6.84
Neubrandenburg,53.5569,13.2608
Grevenbroich,51.0883,6.5875
Rosenheim,47.8561,12.1289
Herten,51.6,7.1333
Bergheim,50.9667,6.65
Schwäbisch Gmünd,48.8,9.8
Coburg,50.2666,10.9666
Friedrichshafen,47.6542,9.4792
Garbsen,52.4183,9.5981
Wesel,51.6586,6.6178
Hürth,50.8775,6.8761
Offenburg,48.4708,7.9408
Stralsund,54.3,13.0833
Greifswald,54.0833,13.3833
Langenfeld,51.1167,6.95
Neu-Ulm,48.3833,10.0
Unna,51.5347,7.6889
Euskirchen,50.6597,6.7917
Frankfurt (Oder),52.35,14.55
Göppingen,48.7025,9.6528
Hameln,52.1031,9.36
Stolberg,50.7667,6.2333
Eschweiler,50.8167,6.2833
Görlitz,51.1528,14.9872
Meerbusch,51.2667,6.6667
Sankt Augustin,50.77,7.1867
Hilden,51.1714,6.9394
Waiblingen,48.8303,9.3169
Baden-Baden,48.7619,8.2408
Langenhagen,52.4394,9.74
Hattingen,51.3992,7.1858
Lingen,52.5233,7.3172
Bad Homburg,50.2292,8.6105
Bad Salzuflen,52.0875,8.7506
Pulheim,51.0,6.8
Schweinfurt,50.05,10.2333
Nordhorn,52.4333,7.0667
Neustadt,49.35,8.15
Wetzlar,50.5667,8.5
Ahlen,51.7633,7.8911
Frechen,50.9167,6.8167
Passau,48.5667,13.4667
Wolfenbüttel,52.1622,10.5369
Ibbenbüren,52.2778,7.7167
Kleve,51.79,6.14
Bad Kreuznach,49.8469,7.8669
Goslar,51.906,10.4292
Gummersbach,51.0333,7.5667
Ravensburg,47.7831,9.6114
Willich,51.2631,6.5492
Speyer,49.3194,8.4311
Böblingen,48.6833,9.0
Peine,52.3203,10.2336
Emden,53.3669,7.2061
Elmshorn,53.7547,9.6536
Erftstadt,50.8167,6.7667
Rastatt,48.8572,8.2031
Heidenheim,48.6761,10.1544
Lörrach,47.6156,7.6614
Leonberg,48.8014,9.0131
Bergkamen,51.6167,7.6333
Bad Oeynhausen,52.2,8.8
Freising,48.4028,11.7489
Frankenthal,49.5333,8.35
Rheda-Wiedenbrück,51.8417,8.3
Cuxhaven,53.8667,8.7
Bornheim,50.7592,7.005
Gronau,52.2125,7.0417
Straubing,48.8772,12.5758
Stade,53.6008,9.4764
Soest,51.5711,8.1092
Dachau,48.2603,11.4342
Alsdorf,50.8744,6.1615
Landau,49.1994,8.1231
Dülmen,51.8308,7.2783
Melle,52.2031,8.3361
Neunkirchen,49.3448,7.1799
Herzogenrath,50.8667,6.1
Schwerte,51.4458,7.5653
Oberursel,50.2028,8.5769
Wittenberg,51.8671,12.6484
Hof,50.3167,11.9167
Filderstadt,48.6667,9.2167
Gotha,50.9489,10.7183
Fellbach,48.8086,9.2758
Bünde,52.2,8.6
Albstadt,48.2119,9.0239
Weinheim,49.5561,8.6697
Rodgau,50.0256,8.8841
Bruchsal,49.1333,8.6
Oranienburg,52.7544,13.2369
Brühl,50.8333,6.9
Erkrath,51.2239,6.9147
Neustadt am Rübenberge,52.5055,9.4636
Lehrte,52.3725,9.9769
Kaufbeuren,47.88,10.6225
Falkensee,52.5583,13.0917
Memmingen,47.9878,10.1811
Kaarst,51.2278,6.6273
Erkelenz,51.08,6.3156
Pinneberg,53.6591,9.8009
Bietigheim-Bissingen,48.9667,9.1333
Kamen,51.5917,7.6653
Wismar,53.8925,11.465
Borken,51.8439,6.8583
Gifhorn,52.4886,10.5464
Nettetal,51.3167,6.2833
Eisenach,50.9747,10.3244
Dreieich,50.0189,8.6961
Aurich,53.4714,7.4836
Amberg,49.4444,11.8483
Heinsberg,51.0631,6.0964
Ansbach,49.3,10.5833
Homburg,49.3167,7.3333
Nordhausen,51.505,10.7911
Wunstorf,52.4238,9.4359
Siegburg,50.8014,7.2044
Laatzen,52.3077,9.8133
Königswinter,50.6833,7.1833
Nürtingen,48.6267,9.3353
Freiberg,50.9119,13.3428
Schwabach,49.3292,11.0208
Lemgo,52.0277,8.9043
Kirchheim unter Teck,48.6483,9.4511
Bensheim,49.6811,8.6228
Schwäbisch Hall,49.1122,9.7375
Weißenfels,51.2,11.9667
Pirmasens,49.2,7.6
Germering,48.1333,11.3667
Eberswalde,52.8331,13.8331
Halberstadt,51.8958,11.0467
Buxtehude,53.4769,9.7011
Leinfelden-Echterdingen,48.6928,9.1428
Neumarkt,49.2833,11.4667
Hückelhoven,51.0608,6.2197
Hofheim,50.0876,8.4447
Freital,51.0167,13.65
Löhne,52.2,8.7
Schorndorf,48.8,9.5333
Stendal,52.6,11.85
Völklingen,49.25,6.8333
Ettlingen,48.9333,8.4
Ostfildern,48.7228,9.2631
Maintal,50.15,8.8333
Ahaus,52.0794,7.0134
Ilmenau,50.6872,10.9142
Mettmann,51.25,6.9667
Würselen,50.8247,6.1275
Bitterfeld,51.6167,12.3167
Bautzen,51.1814,14.4239
Pirna,50.9622,13.9403
Niederkassel,50.8167,7.0333
Langen,49.9893,8.6803
Greven,52.0917,7.6083
Fürstenfeldbruck,48.1778,11.2556
Neu Isenburg,50.0558,8.6971
Papenburg,53.0667,7.4
Kamp-Lintfort,51.5,6.5333
Backnang,48.9464,9.4306
Warendorf,51.9539,7.9933
Königs Wusterhausen,52.2917,13.625
Suhl,50.6106,10.6931
Beckum,51.7558,8.0408
Erding,48.3001,11.9082
Coesfeld,51.9458,7.1675
Mühlhausen,51.2167,10.45
Wesseling,50.8207,6.9786
Kehl,48.5711,7.8089
Emsdetten,52.1728,7.5344
Tuttlingen,47.985,8.8233
Sankt Ingbert,49.3,7.1167
Porta Westfalica,52.2167,8.9333
Sinsheim,49.25,8.8833
Meppen,52.6906,7.291
Limburg,50.3833,8.0667
Ingelheim,49.9747,8.0564
Lage,51.9833,8.8
Cloppenburg,52.8478,8.0439
Winsen,53.3667,10.2167
Mörfelden-Walldorf,49.9896,8.5661
Wermelskirchen,51.1392,7.2051
Datteln,51.6539,7.3417
Kempen,51.3658,6.4194
Saarlouis,49.3167,6.75
Leer,53.2308,7.4528
Seelze,52.3961,9.5981
Crailsheim,49.1347,10.0706
Barsinghausen,52.3031,9.4606
Balingen,48.2731,8.8506
Zweibrücken,49.2494,7.3608
Viernheim,49.538,8.5792
Steinfurt,52.1504,7.3366
Merseburg,51.3544,11.9928
Hemer,51.3833,7.7667
Dietzenbach,50.0086,8.7756
Radebeul,51.1033,13.67
Bad Vilbel,50.1781,8.7361
Geldern,51.5197,6.3325
Goch,51.6839,6.1619
Kornwestheim,48.8597,9.185
Uelzen,52.9647,10.5658
Deggendorf,48.8353,12.9644
Wedel,53.5833,9.7
Ahrensburg,53.6747,10.2411
Rheinfelden (Baden),47.5611,7.7917
Korschenbroich,51.1833,6.5167
Biberach,48.0981,9.7886
Wernigerode,51.835,10.7853
Bernburg,51.8,11.7333
Jülich,50.9222,6.3583
Lampertheim,49.5942,8.4671
Vechta,52.7306,8.2886
Naumburg,51.1521,11.8098
Forchheim,49.7197,11.0581
Bad Nauheim,50.3667,8.75
Hoyerswerda,51.4331,14.25
Altenburg,50.985,12.4333
Delbrück,51.7667,8.5667
Fürstenwalde,52.3667,14.0667
Achim,53.013,9.033
Itzehoe,53.925,9.5164
Georgsmarienhütte,52.2031,8.0447
Herrenberg,48.5967,8.8708
Oer-Erkenschwick,51.6422,7.2508
Radolfzell am Bodensee,47.7369,8.9697
Kreuztal,50.962,8.0064
Rheinberg,51.5467,6.6006
Bramsche,52.4089,7.9728
Neuruppin,52.9222,12.8
Einbeck,51.8167,9.8667
Werl,51.5528,7.9139
Schönebeck,52.0167,11.75
Burgdorf,52.45,10.0083
Gevelsberg,51.3265,7.3559
Geesthacht,53.4381,10.3747
Haan,51.1931,7.0131
Lohmar,50.8415,7.2166
Osterholz-Scharmbeck,53.2269,8.7947
Weil am Rhein,47.5947,7.6108
Ennepetal,51.3021,7.3425
Riesa,51.3081,13.2939
Taunusstein,50.1435,8.1606
Andernach,50.4397,7.4017
Meschede,51.3503,8.2836
Schwedt (Oder),53.0631,14.2831
Friedberg,48.35,10.9833
Bad Hersfeld,50.8683,9.7067
Gaggenau,48.8039,8.3194
Merzig,49.4471,6.6312
Neuburg,48.7333,11.1833
Derne,51.6667,7.6167
Vaihingen an der Enz,48.9328,8.9564
Rietberg,51.8,8.4333
Saalfeld,50.6506,11.3542
Bretten,49.0364,8.7061
Waltrop,51.6167,7.3833
Oelde,51.8258,8.1436
Tönisvorst,51.3208,6.4931
Güstrow,53.7939,12.1764
Landsberg,48.0528,10.8689
Northeim,51.7067,10.0011
Kelkheim (Taunus),50.138,8.4525
Springe,52.2167,9.55
Unterschleißheim,48.2833,11.5667
Bühl,48.6953,8.135
Schwandorf,49.3236,12.0993
Höxter,51.7667,9.3667
Rösrath,50.9,7.1833
Schwelm,51.2904,7.2972
Rendsburg,54.3044,9.6644
Steinheim am Main,50.1257,8.83
Winnenden,48.8764,9.3978
Idar-Oberstein,49.7019,7.3253
Bad Neuenahr-Ahrweiler,50.5447,7.1133
Grimma,51.2386,12.7253
Wegberg,51.1333,6.2667
Geislingen an der Steige,48.6244,9.8306
Königsbrunn,48.2689,10.8908
Meißen,51.1636,13.4775
Leichlingen,51.1167,7.0167
Kevelaer,51.5833,6.25
Zeitz,51.0478,12.1383
Emmendingen,48.1214,7.8492
Sundern,51.3167,8.0
Baunatal,51.2589,9.4183
Olching,48.2,11.3167
Reinbek,53.5089,10.2483
Mechernich,50.6,6.65
Wetter (Ruhr),51.3881,7.395
Griesheim,49.8594,8.5525
Arnstadt,50.8342,10.9464
Aschersleben,51.75,11.4667
Geilenkirchen,50.9653,6.1194
Rheinbach,50.6256,6.9491
Overath,50.95,7.3
Baesweiler,50.9,6.1833
Leimen,49.3481,8.6911
Wangen im Allgäu,47.6858,9.8342
Schloß Holte-Stukenbrock,51.8833,8.6167
Lohne,52.6667,8.2386
Wiesloch,49.2942,8.6983
Hamminkeln,51.7319,6.5908
Strausberg,52.5808,13.8814
Lauf,49.5103,11.2772
Neckarsulm,49.1917,9.2244
Heiligenhaus,51.3265,6.971
Sangerhausen,51.4667,11.3
Hennigsdorf,52.6378,13.2036
Ehingen an der Donau,48.2833,9.7236
Butzbach,50.4367,8.6622
Nordenham,53.5,8.4667
Hohen Neuendorf,52.6667,13.2831
Ludwigsfelde,52.2997,13.2667
Mühlacker,48.95,8.8392
Heppenheim,49.6415,8.645
Selm,51.6833,7.4833
Weiterstadt,49.9,8.6
Pfaffenhofen,48.5333,11.5167
Kulmbach,50.1,11.4333
Sankt Wendel,49.4667,7.1667
Teltow,52.4022,13.2706
Bad Honnef am Rhein,50.645,7.2269
Helmstedt,52.2281,11.0106
Bingen am Rhein,49.9669,7.895
Achern,48.6314,8.0739
Zirndorf,49.45,10.95
Roth,49.2461,11.0911
Lennestadt,51.1236,8.0681
Verl,51.8831,8.5167
Lindau,47.5458,9.6839
Lübbecke,52.3081,8.6231
Rinteln,52.1906,9.0814
Brilon,51.3956,8.5678
Staßfurt,51.8667,11.5667
Zittau,50.8961,14.8072
Plettenberg,51.2128,7.8715
Groß-Gerau,49.9214,8.4818
Schleswig,54.5153,9.5697
Geretsried,47.8667,11.4667
Rottweil,48.1681,8.6247
Friedrichsdorf,50.2569,8.6418
Petershagen,52.3833,8.9667
Pfungstadt,49.8056,8.6044
Harsewinkel,51.9667,8.2331
Wiehl,50.95,7.5333
Horb am Neckar,48.445,8.6911
Rudolstadt,50.7169,11.3275
Salzkotten,51.6708,8.6047
Norden,53.5967,7.2056
Weingarten,47.8078,9.6417
Obertshausen,50.0715,8.8482
Idstein,50.2206,8.2692
Ditzingen,48.8264,9.0667
Schmallenberg,51.1333,8.3
Delitzsch,51.5264,12.3425
Warstein,51.45,8.3667
Sprockhövel,51.3614,7.244
Bad Oldesloe,53.8117,10.3742
Olpe,51.0289,7.8514
Espelkamp,52.3772,8.6328
Rathenow,52.6,12.3333
Senftenberg,51.5167,14.0167
Meiningen,50.55,10.4167
Waldshut-Tiengen,47.6231,8.2144
Sonneberg,50.35,11.1667
Salzwedel,52.85,11.15
Calw,48.7144,8.7375
Korbach,51.2719,8.8731
Starnberg,47.9972,11.3406
Freudenstadt,48.4633,8.4111
Mosbach,49.35,9.1333
Husum,54.4769,9.0511
Westerstede,53.25,7.9167
Burg,52.2725,11.855
Weilheim,47.8333,11.1333
Bad Kissingen,50.2,10.0667
Stadthagen,52.3247,9.2069
Apolda,51.0247,11.5139
Osterode,51.7286,10.2522
Kitzingen,49.7333,10.1667
Heide,54.1961,9.0933
Sonthofen,47.5142,10.2817
Sondershausen,51.3667,10.8667
Aichach,48.45,11.1333
Germersheim,49.2167,8.3667
Günzburg,48.4525,10.2711
Luckenwalde,52.0831,13.1667
Traunstein,47.8683,12.6433
Mühldorf,48.2456,12.5228
Wittmund,53.5747,7.7808
Bad Salzungen,50.8117,10.2333
Lichtenfels,50.1333,11.0333
Greiz,50.6547,12.1997
Donauwörth,48.7184,10.777
Torgau,51.5603,13.0056
Holzminden,51.8297,9.4483
Dingolfing,48.6333,12.5
Annaberg-Buchholz,50.58,13.0022
Eschwege,51.1881,10.0528
Haldensleben,52.2833,11.4167
Sömmerda,51.1617,11.1169
Prenzlau,53.3167,13.8667
Wittlich,49.9869,6.8897
Dillingen,48.5667,10.4667
Bad Tölz,47.7603,11.5567
Marktoberdorf,47.7667,10.6167
Alzey,49.7517,8.1161
Bad Dürkheim,49.4618,8.1724
Weißenburg,49.0306,10.9719
Bad Reichenhall,47.7247,12.8769
Forst,51.7333,14.6333
Parchim,53.4167,11.8333
Sigmaringen,48.0867,9.2164
Bad Segeberg,53.9356,10.3089
Heilbad Heiligenstadt,51.3775,10.1344
Eutin,54.1378,10.6181
Cham,49.2183,12.6658
Diepholz,52.6072,8.3711
Kronach,50.2411,11.3281
Kelheim,48.9167,11.8667
Bad Neustadt,50.3219,10.2161
Künzelsau,49.2833,9.6833
Mindelheim,48.0333,10.4667
Brake,53.3333,8.4833
Bitburg,49.9747,6.5256
Ratzeburg,53.7017,10.7567
Jever,53.5744,7.9008
Lübben,51.95,13.9
Montabaur,50.4375,7.8258
Erbach,49.6569,8.9931
Lauterbach,50.6378,9.3944
Haßfurt,50.0353,10.5123
Eichstätt,48.8919,11.1839
Tauberbischofsheim,49.6225,9.6628
Pfarrkirchen,48.4419,12.9443
Ebersberg,48.0833,11.9667
Perleberg,53.0667,11.8667
Bad Fallingbostel,52.8675,9.6967
Hildburghausen,50.4261,10.7289
Miesbach,47.789,11.8338
Bad Schwalbach,50.1401,8.0694
Regen,48.97,13.1264
Eisenberg,50.9667,11.9
Altötting,48.2264,12.6759
Bad Ems,50.3381,7.7106
Lüchow,52.9667,11.15
Miltenberg,49.7039,9.2644
Wunsiedel,50.0374,11.9994
Herzberg,51.6831,13.2331
Plön,54.1622,10.4214
Schleiz,50.5833,11.8167
Tirschenreuth,49.8789,12.3369
Beeskow,52.1667,14.25
Daun,50.1986,6.8319
Simmern,49.9833,7.5167
Kirchheimbolanden,49.6664,8.0117
Freyung,48.8075,13.5475
Birkenfeld,49.65,7.1833
Altenkirchen,50.6872,7.6456
Seelow,52.5167,14.3831
Kusel,49.5347,7.3981
Cochem,50.1469,7.1667
Offenbach,50.1006,8.7665
Weiden,49.6768,12.1561
Nienburg,52.6461,9.2208
Verden,52.9234,9.2349
Köthen,51.7518,11.9709
Rotenburg,53.0851,9.3879
Karlstadt,49.9603,9.7724
Homberg,51.0299,9.4026
Garmisch-Partenkirchen,47.4985,11.1044
